,,,Poverty Line,,,,Head count Ratio,,,,,
Sr. No.,,State,2004-05(61st  Rnd),,2011-12(68 Rnd),,2004-05(61st  Rnd),,,2011-12(61st  Rnd),,
,State code,,Rural ,Urban,Rural ,Urban,Rural ,Urban,Total,Rural ,Urban,Total
,,,1,61,33,TAN,441.69,replace poor=1 if rnd==61 & sctr==1 & mpce_mrp<441.69 & state_com==33,replace poor=0 if state_com==33 & poor==.
,,,1,61,16,TRP,450.49,replace poor=1 if rnd==61 & sctr==1 & mpce_mrp<450.49 & state_com==16,replace poor=0 if state_com==16 & poor==.
,,,1,61,5,UTC,435.14,replace poor=1 if rnd==61 & sctr==1 & mpce_mrp<435.14 & state_com==5,replace poor=0 if state_com==5 & poor==.
,,,1,61,9,UTP,486.24,replace poor=1 if rnd==61 & sctr==1 & mpce_mrp<486.24 & state_com==9,replace poor=0 if state_com==9 & poor==.
,,,1,61,19,WEB,445.38,replace poor=1 if rnd==61 & sctr==1 & mpce_mrp<445.38 & state_com==19,replace poor=0 if state_com==19 & poor==.
,,,2,61,28,ANP,563.16,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<563.16 & state_com==28,
,,,2,61,12,ARP,618.45,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<618.45 & state_com==12,
,,,2,61,18,ASS,600.03,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<600.03 & state_com==18,
,,,2,61,10,BIH,526.18,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<526.18 & state_com==10,
,,,2,61,22,CHT,513.7,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<513.7 & state_com==22,
,,,2,61,7,DLI,642.47,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<642.47 & state_com==7,
,,,2,61,30,GOA,671.15,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<671.15 & state_com==30,
,,,2,61,24,GUJ,659.18,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<659.18 & state_com==24,
,,,2,61,6,HAR,626.41,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<626.41 & state_com==6,
,,,2,61,2,HMP,605.74,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<605.74 & state_com==2,
,,,2,61,1,JMK,602.89,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<602.89 & state_com==1,
,,,2,61,20,JHK,531.35,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<531.35 & state_com==20,
,,,2,61,29,KAR,588.06,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<588.06 & state_com==29,
,,,2,61,32,KER,584.7,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<584.7 & state_com==32,
